Symbol,Sector,Industry,CapTier,Category
WAB,Industrials,Construction Machinery & Heavy Transportation Equipment,large,
WAT,Health Care,Life Sciences Tools & Services,large,
WBD,Communication Services,Broadcasting,large,
WDAY,Information Technology,Application Software,large,
WDC,Information Technology,"Technology Hardware, Storage & Peripherals",large,
WEC,Utilities,Electric Utilities,large,
WELL,Real Estate,Health Care REITs,large,
WFC,Financials,Diversified Banks,large,
WM,Industrials,Environmental & Facilities Services,large,
WMB,Energy,Oil & Gas Storage & Transportation,large,
WMT,Consumer Staples,Consumer Staples Merchandise Retail,large,
WRB,Financials,Property & Casualty Insurance,large,
WSM,Consumer Discretionary,Homefurnishing Retail,large,
WST,Health Care,Health Care Supplies,large,
WTW,Financials,Insurance Brokers,large,
WY,Real Estate,Timber REITs,large,
WYNN,Consumer Discretionary,Casinos & Gaming,large,
XEL,Utilities,Multi-Utilities,large,
XOM,Energy,Integrated Oil & Gas,large,
XYL,Industrials,Industrial Machinery & Supplies & Components,large,
XYZ,Financials,Transaction & Payment Processing Services,large,
YUM,Consumer Discretionary,Restaurants,large,
ZBH,Health Care,Health Care Equipment,large,
ZBRA,Information Technology,Electronic Equipment & Instruments,large,
ZTS,Health Care,Pharmaceuticals,large,
